[00:02:37] Directory ready: /home/alexk/record/temp_recovery
[00:02:37] Directory ready: /home/alexk/data
[00:02:37] Directory ready: /home/alexk/archive
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_000000.ubx to rnx
[00:02:37] Runing convbin to convert /home/alexk/record/20220210_010000.ubx to rnx

DATE/TIME           | C | EPOCH / FILE            | SITE | T | MESSAGE
2026-02-26 00:02:40 | W | 2022-02-10 00:32:59.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:32:59.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:32:59.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:33:15.999 | ANTC | O | format error (dot-check) for prn R10 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:33:15.999 | ANTC | O | mismatch of number of satellites(33) and records got(32) 2022-02-10 00:33:15.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:34:58.999 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:34:58.999 | ANTC | O | mismatch of number of satellites(35) and records got(34) 2022-02-10 00:34:58.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:34:59.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:34:59.999 | ANTC | O | mismatch of number of satellites(35) and records got(34) 2022-02-10 00:34:59.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:35:45.999 | ANTC | O | format error (dot-check) for prn C14 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:35:45.999 | ANTC | O | mismatch of number of satellites(33) and records got(32) 2022-02-10 00:35:45.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:36:00.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:36:00.999 | ANTC | O | mismatch of number of satellites(35) and records got(34) 2022-02-10 00:36:00.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:36:49.999 | ANTC | O | format error (dot-check) for prn R17 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:36:49.999 | ANTC | O | mismatch of number of satellites(35) and records got(34) 2022-02-10 00:36:49.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:37:12.999 | ANTC | O | format error (dot-check) for prn C14 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:37:12.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:37:12.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:37:37.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:37:37.999 | ANTC | O | mismatch of number of satellites(34) and records got(33) 2022-02-10 00:37:37.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:38:03.999 | ANTC | O | format error (dot-check) for prn R02 (length 128 / 8 values)
2026-02-26 00:02:40 | W | 2022-02-10 00:38:03.999 | ANTC | O | mismatch of number of satellites(35) and records got(34) 2022-02-10 00:38:03.9990000 !
2026-02-26 00:02:40 | W | 2022-02-10 00:38:12.999 | ANTC | O | format error (dot-check) for prn G11 (length 128 / 8 values)
